id,vertices,center,label
2,"[[39.06476071654142, 104.70941439544178], [24.07652246854142, 104.7093442914418], [24.076528564541416, 104.20934732344179], [24.076528564541416, 104.20934732344179], [24.07653161254142, 103.70934425944179], [39.064763764541425, 103.70941436344177]]","[29.07260594854142, 104.2093686594418]",elevators_1
4,"[[37.223771764541425, 103.70940521944178], [37.223765668541425, 104.7094052514418], [25.042729324541423, 104.70935038744179], [25.042732372541423, 103.70935035544179]]","[31.133249782541423, 104.20937780344178]",elevators_3
