id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
87,"[78.0, 31.17691453623979]",t,1,0,[],[],[],0,,0
88,"[90.0, 31.17691453623979]",t,1,0,[],[],[],0,,0
89,"[102.0, 31.17691453623979]",f,Infinity,0,[],[],[],0,,0
90,"[0.0, 34.64101615137754]",f,Infinity,0,[],[],[],0,,0
91,"[12.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
92,"[24.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
93,"[36.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
94,"[48.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
95,"[60.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
96,"[72.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
97,"[84.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
98,"[96.0, 34.64101615137754]",t,1,0,[],[],[],0,,0
99,"[6.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
100,"[18.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
101,"[30.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
102,"[42.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
103,"[54.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
104,"[66.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
105,"[78.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
106,"[90.0, 38.1051177665153]",t,1,0,[],[],[],0,,0
107,"[102.0, 38.1051177665153]",f,Infinity,0,[],[],[],0,,0
108,"[0.0, 41.569219381653056]",f,Infinity,0,[],[],[],0,,0
109,"[12.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
110,"[24.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
111,"[36.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
112,"[48.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
113,"[60.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
114,"[72.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
115,"[84.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
116,"[96.0, 41.569219381653056]",t,1,0,[],[],[],0,,0
117,"[6.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
118,"[18.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
119,"[30.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
120,"[42.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
121,"[54.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
122,"[66.0, 45.03332099679081]",t,1,0,[],[],[],0,,0
