grid_id,neighbor_ids,distances
186,"[168, 176, 177, 194, 195, 204]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
187,"[169, 177, 178, 195, 196, 205]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
188,"[170, 178, 179, 196, 197, 206]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
189,"[171, 180, 181, 198, 199, 207]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
190,"[172, 181, 182, 199, 200, 208]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
191,"[173, 182, 183, 200, 201, 209]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
192,"[174, 183, 184, 201, 202, 210]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
193,"[175, 184, 185, 202, 203, 211]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
194,"[176, 185, 186, 203, 204, 212]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
195,"[177, 186, 187, 204, 205, 213]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
196,"[178, 187, 188, 205, 206, 214]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
197,"[179, 188, 206, 215]","[6.9282032302755, 6.928203230275507, 6.928203230275514, 6.928203230275514]"
198,"[180, 189, 207, 216]","[6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275514]"
199,"[181, 189, 190, 207, 208, 217]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
200,"[182, 190, 191, 208, 209, 218]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
201,"[183, 191, 192, 209, 210, 219]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
202,"[184, 192, 193, 210, 211, 220]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
203,"[185, 193, 194, 211, 212, 221]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
204,"[186, 194, 195, 212, 213, 222]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
205,"[187, 195, 196, 213, 214, 223]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
206,"[188, 196, 197, 214, 215, 224]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
207,"[189, 198, 199, 216, 217, 225]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
208,"[190, 199, 200, 217, 218, 226]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
209,"[191, 200, 201, 218, 219, 227]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
210,"[192, 201, 202, 219, 220, 228]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
211,"[193, 202, 203, 220, 221, 229]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
212,"[194, 203, 204, 221, 222, 230]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
213,"[195, 204, 205, 222, 223, 231]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
214,"[196, 205, 206, 223, 224, 232]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
215,"[197, 206, 224, 233]","[6.928203230275514, 6.928203230275507, 6.928203230275514, 6.928203230275514]"
216,"[198, 207, 225, 234]","[6.928203230275514, 6.928203230275514, 6.928203230275507, 6.9282032302755]"
217,"[199, 207, 208, 225, 226, 235]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
218,"[200, 208, 209, 226, 227, 236]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
219,"[201, 209, 210, 227, 228, 237]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
220,"[202, 210, 211, 228, 229, 238]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
221,"[203, 211, 212, 229, 230, 239]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
222,"[204, 212, 213, 230, 231, 240]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
223,"[205, 213, 214, 231, 232, 241]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
224,"[206, 214, 215, 232, 233, 242]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
225,"[207, 216, 217, 234, 235, 243]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
226,"[208, 217, 218, 235, 236, 244]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
227,"[209, 218, 219, 236, 237, 245]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
228,"[210, 219, 220, 237, 238, 246]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
229,"[211, 220, 221, 238, 239, 247]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
230,"[212, 221, 222, 239, 240, 248]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
231,"[213, 222, 223, 240, 241, 249]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
232,"[214, 223, 224, 241, 242, 250]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
233,"[215, 224, 242, 251]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
234,"[216, 225, 243, 252]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
235,"[217, 225, 226, 243, 244, 253]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
236,"[218, 226, 227, 244, 245, 254]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
237,"[219, 227, 228, 245, 246, 255]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
238,"[220, 228, 229, 246, 247, 256]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
239,"[221, 229, 230, 247, 248, 257]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
240,"[222, 230, 231, 248, 249, 258]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
241,"[223, 231, 232, 249, 250, 259]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
242,"[224, 232, 233, 250, 251, 260]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
243,"[225, 234, 235, 252, 253, 261]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
244,"[226, 235, 236, 253, 254, 262]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
245,"[227, 236, 237, 254, 255, 263]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
246,"[228, 237, 238, 255, 256, 264]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
247,"[229, 238, 239, 256, 257, 265]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
248,"[230, 239, 240, 257, 258, 266]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
249,"[231, 240, 241, 258, 259, 267]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
250,"[232, 241, 242, 259, 260, 268]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
251,"[233, 242, 260, 269]","[6.9282032302755, 6.928203230275507, 6.928203230275514, 6.928203230275514]"
252,"[234, 243, 261, 270]","[6.928203230275514, 6.928203230275514, 6.928203230275507, 6.9282032302755]"
253,"[235, 243, 244, 261, 262, 271]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
254,"[236, 244, 245, 262, 263, 272]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
255,"[237, 245, 246, 263, 264, 273]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
256,"[238, 246, 247, 264, 265, 274]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
257,"[239, 247, 248, 265, 266, 275]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
258,"[240, 248, 249, 266, 267, 276]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
259,"[241, 249, 250, 267, 268, 277]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
260,"[242, 250, 251, 268, 269, 278]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
261,"[243, 252, 253, 270, 271, 279]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
262,"[244, 253, 254, 271, 272, 280]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
263,"[245, 254, 255, 272, 273, 281]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
264,"[246, 255, 256, 273, 274, 282]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
265,"[247, 256, 257, 274, 275, 283]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
266,"[248, 257, 258, 275, 276, 284]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
267,"[249, 258, 259, 276, 277, 285]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
268,"[250, 259, 260, 277, 278, 286]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
269,"[251, 260, 278, 287]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
270,"[252, 261, 279, 288]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
271,"[253, 261, 262, 279, 280, 289]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
272,"[254, 262, 263, 280, 281, 290]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
273,"[255, 263, 264, 281, 282, 291]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
274,"[256, 264, 265, 282, 283, 292]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
275,"[257, 265, 266, 283, 284, 293]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
276,"[258, 266, 267, 284, 285, 294]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
277,"[259, 267, 268, 285, 286, 295]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
278,"[260, 268, 269, 286, 287, 296]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
279,"[261, 270, 271, 288, 289, 297]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
280,"[262, 271, 272, 289, 290, 298]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
281,"[263, 272, 273, 290, 291, 299]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
282,"[264, 273, 274, 291, 292, 300]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
283,"[265, 274, 275, 292, 293, 301]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
284,"[266, 275, 276, 293, 294, 302]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
285,"[267, 276, 277, 294, 295, 303]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
286,"[268, 277, 278, 295, 296, 304]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
287,"[269, 278, 296, 305]","[6.9282032302755, 6.928203230275507, 6.928203230275514, 6.928203230275514]"
288,"[270, 279, 297, 306]","[6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275514]"
289,"[271, 279, 280, 297, 298, 307]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
290,"[272, 280, 281, 298, 299, 308]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
291,"[273, 281, 282, 299, 300, 309]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
292,"[274, 282, 283, 300, 301, 310]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
293,"[275, 283, 284, 301, 302, 311]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
294,"[276, 284, 285, 302, 303, 312]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
295,"[277, 285, 286, 303, 304, 313]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
296,"[278, 286, 287, 304, 305, 314]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
297,"[279, 288, 289, 306, 307, 315]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
298,"[280, 289, 290, 307, 308, 316]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
299,"[281, 290, 291, 308, 309, 317]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
300,"[282, 291, 292, 309, 310, 318]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
301,"[283, 292, 293, 310, 311, 319]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
302,"[284, 293, 294, 311, 312, 320]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
303,"[285, 294, 295, 312, 313, 321]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
304,"[286, 295, 296, 313, 314, 322]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275514, 6.928203230275514, 6.928203230275514]"
305,"[287, 296, 314, 323]","[6.928203230275514, 6.928203230275507, 6.928203230275514, 6.928203230275514]"
306,"[288, 297, 315, 324]","[6.928203230275514, 6.928203230275514, 6.928203230275507, 6.9282032302755]"
307,"[289, 297, 298, 315, 316, 325]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
308,"[290, 298, 299, 316, 317, 326]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
309,"[291, 299, 300, 317, 318, 327]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
310,"[292, 300, 301, 318, 319, 328]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
311,"[293, 301, 302, 319, 320, 329]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
312,"[294, 302, 303, 320, 321, 330]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
313,"[295, 303, 304, 321, 322, 331]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
314,"[296, 304, 305, 322, 323, 332]","[6.928203230275514, 6.928203230275514, 6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
315,"[297, 306, 307, 324, 325, 333]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
316,"[298, 307, 308, 325, 326, 334]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
317,"[299, 308, 309, 326, 327, 335]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
318,"[300, 309, 310, 327, 328, 336]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
319,"[301, 310, 311, 328, 329, 337]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
320,"[302, 311, 312, 329, 330, 338]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
321,"[303, 312, 313, 330, 331, 339]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
322,"[304, 313, 314, 331, 332, 340]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
323,"[305, 314, 332, 341]","[6.928203230275514, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
324,"[306, 315, 333]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
325,"[307, 315, 316, 333, 334]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
326,"[308, 316, 317, 334, 335]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
327,"[309, 317, 318, 335, 336]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
328,"[310, 318, 319, 336, 337]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
329,"[311, 319, 320, 337, 338]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
330,"[312, 320, 321, 338, 339]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
331,"[313, 321, 322, 339, 340]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
332,"[314, 322, 323, 340, 341]","[6.9282032302755, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
333,"[315, 324, 325]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
334,"[316, 325, 326]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
335,"[317, 326, 327]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
336,"[318, 327, 328]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
337,"[319, 328, 329]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
338,"[320, 329, 330]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
339,"[321, 330, 331]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
340,"[322, 331, 332]","[6.9282032302755, 6.928203230275507, 6.928203230275507]"
341,"[323, 332]","[6.9282032302755, 6.928203230275507]"
